"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1561	10214860	15.3
	"Georgia"	"13"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	9010	10214860	88.2
	"Georgia"	"13"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	14711	10214860	144.0
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	8470	10214860	82.9
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	26	10214860	0.3
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	10214860	Suppressed
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	41965	10214860	410.8
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	19578	10214860	191.7
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	5218	10214860	51.1
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	579	10214860	5.7
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	892	10214860	8.7
	"Georgia"	"13"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	6590	10214860	64.5
	"Georgia"	"13"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	126	10214860	1.2
	"Georgia"	"13"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	688	10214860	6.7
	"Georgia"	"13"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	423	10214860	4.1
	"Georgia"	"13"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	14528	10214860	142.2
	"Georgia"	"13"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	7529	10214860	73.7
	"Georgia"	"13"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	Suppressed	10214860	Suppressed
	"Georgia"	"13"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	7789	10214860	76.3
	"Georgia"	"13"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	7529	10310371	73.0
	"Georgia"	"13"	"2016"	"2016"	"Neoplasms"	"C00-D48"	18755	10310371	181.9
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1698	10310371	16.5
	"Georgia"	"13"	"2016"	"2016"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	10367	10310371	100.5
	"Georgia"	"13"	"2016"	"2016"	"Mental and behavioural disorders"	"F01-F99"	14625	10310371	141.8
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the nervous system"	"G00-G98"	9372	10310371	90.9
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the eye and adnexa"	"H00-H59"	50	10310371	0.5
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	10310371	Suppressed
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	43292	10310371	419.9
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the respiratory system"	"J00-J98"	20351	10310371	197.4
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the digestive system"	"K00-K92"	5183	10310371	50.3
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	617	10310371	6.0
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	991	10310371	9.6
	"Georgia"	"13"	"2016"	"2016"	"Diseases of the genitourinary system"	"N00-N99"	6686	10310371	64.8
	"Georgia"	"13"	"2016"	"2016"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	110	10310371	1.1
	"Georgia"	"13"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	650	10310371	6.3
	"Georgia"	"13"	"2016"	"2016"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	443	10310371	4.3
	"Georgia"	"13"	"2016"	"2016"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	14793	10310371	143.5
	"Georgia"	"13"	"2016"	"2016"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	8101	10310371	78.6
	"Georgia"	"13"	"2016"	"2016"	"Codes for special purposes"	"U00-U99"	0	10310371	Unreliable
	"Georgia"	"13"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	8407	10310371	81.5
	"Georgia"	"13"	"2017"	"2017"	"Certain infectious and parasitic diseases"	"A00-B99"	7692	10429379	73.8
	"Georgia"	"13"	"2017"	"2017"	"Neoplasms"	"C00-D48"	18820	10429379	180.5
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1644	10429379	15.8
	"Georgia"	"13"	"2017"	"2017"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	11167	10429379	107.1
	"Georgia"	"13"	"2017"	"2017"	"Mental and behavioural disorders"	"F01-F99"	15360	10429379	147.3
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the nervous system"	"G00-G98"	10202	10429379	97.8
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the eye and adnexa"	"H00-H59"	43	10429379	0.4
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the ear and mastoid process"	"H60-H95"	13	10429379	Unreliable
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	44557	10429379	427.2
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the respiratory system"	"J00-J98"	21303	10429379	204.3
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the digestive system"	"K00-K92"	5442	10429379	52.2
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	596	10429379	5.7
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	933	10429379	8.9
	"Georgia"	"13"	"2017"	"2017"	"Diseases of the genitourinary system"	"N00-N99"	6902	10429379	66.2
	"Georgia"	"13"	"2017"	"2017"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	121	10429379	1.2
	"Georgia"	"13"	"2017"	"2017"	"Certain conditions originating in the perinatal period"	"P00-P96"	606	10429379	5.8
	"Georgia"	"13"	"2017"	"2017"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	409	10429379	3.9
	"Georgia"	"13"	"2017"	"2017"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	14542	10429379	139.4
	"Georgia"	"13"	"2017"	"2017"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	8168	10429379	78.3
	"Georgia"	"13"	"2017"	"2017"	"Codes for special purposes"	"U00-U99"	0	10429379	Unreliable
	"Georgia"	"13"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	8569	10429379	82.2
	"Georgia"	"13"	"2018"	"2018"	"Certain infectious and parasitic diseases"	"A00-B99"	7924	10519475	75.3
	"Georgia"	"13"	"2018"	"2018"	"Neoplasms"	"C00-D48"	19075	10519475	181.3
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1775	10519475	16.9
	"Georgia"	"13"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	11793	10519475	112.1
	"Georgia"	"13"	"2018"	"2018"	"Mental and behavioural disorders"	"F01-F99"	15458	10519475	146.9
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	10909	10519475	103.7
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the eye and adnexa"	"H00-H59"	47	10519475	0.4
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	10519475	Suppressed
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	46163	10519475	438.8
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	22389	10519475	212.8
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	5659	10519475	53.8
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	608	10519475	5.8
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	997	10519475	9.5
	"Georgia"	"13"	"2018"	"2018"	"Diseases of the genitourinary system"	"N00-N99"	7342	10519475	69.8
	"Georgia"	"13"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	110	10519475	1.0
	"Georgia"	"13"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	597	10519475	5.7
	"Georgia"	"13"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	404	10519475	3.8
	"Georgia"	"13"	"2018"	"2018"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	15585	10519475	148.2
	"Georgia"	"13"	"2018"	"2018"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	8027	10519475	76.3
	"Georgia"	"13"	"2018"	"2018"	"Codes for special purposes"	"U00-U99"	0	10519475	Unreliable
	"Georgia"	"13"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	8477	10519475	80.6
	"Georgia"	"13"	"2019"	"2019"	"Certain infectious and parasitic diseases"	"A00-B99"	8060	10617423	75.9
	"Georgia"	"13"	"2019"	"2019"	"Neoplasms"	"C00-D48"	19567	10617423	184.3
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1883	10617423	17.7
	"Georgia"	"13"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	12580	10617423	118.5
	"Georgia"	"13"	"2019"	"2019"	"Mental and behavioural disorders"	"F01-F99"	15153	10617423	142.7
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	11333	10617423	106.7
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the eye and adnexa"	"H00-H59"	37	10617423	0.3
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the ear and mastoid process"	"H60-H95"	12	10617423	Unreliable
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	47141	10617423	444.0
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	21875	10617423	206.0
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the digestive system"	"K00-K92"	5803	10617423	54.7
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	698	10617423	6.6
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1039	10617423	9.8
	"Georgia"	"13"	"2019"	"2019"	"Diseases of the genitourinary system"	"N00-N99"	7467	10617423	70.3
	"Georgia"	"13"	"2019"	"2019"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	100	10617423	0.9
	"Georgia"	"13"	"2019"	"2019"	"Certain conditions originating in the perinatal period"	"P00-P96"	608	10617423	5.7
	"Georgia"	"13"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	427	10617423	4.0
	"Georgia"	"13"	"2019"	"2019"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	15516	10617423	146.1
	"Georgia"	"13"	"2019"	"2019"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	8213	10617423	77.4
	"Georgia"	"13"	"2019"	"2019"	"Codes for special purposes"	"U00-U99"	Suppressed	10617423	Suppressed
	"Georgia"	"13"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	8820	10617423	83.1
	"Hawaii"	"15"	"2015"	"2015"	"Certain infectious and parasitic diseases"	"A00-B99"	748	1431603	52.2
	"Hawaii"	"15"	"2015"	"2015"	"Neoplasms"	"C00-D48"	2777	1431603	194.0
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	314	1431603	21.9
	"Hawaii"	"15"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1611	1431603	112.5
	"Hawaii"	"15"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	2479	1431603	173.2
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	1121	1431603	78.3
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	18	1431603	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	1431603	Suppressed
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	6161	1431603	430.4
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	2808	1431603	196.1
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	797	1431603	55.7
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	128	1431603	8.9
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	266	1431603	18.6
	"Hawaii"	"15"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	967	1431603	67.5
	"Hawaii"	"15"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	1431603	Suppressed
	"Hawaii"	"15"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	73	1431603	5.1
	"Hawaii"	"15"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	55	1431603	3.8
	"Hawaii"	"15"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1681	1431603	117.4
	"Hawaii"	"15"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	943	1431603	65.9
	"Hawaii"	"15"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	0	1431603	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	996	1431603	69.6
	"Hawaii"	"15"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	812	1428557	56.8
	"Hawaii"	"15"	"2016"	"2016"	"Neoplasms"	"C00-D48"	2769	1428557	193.8
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	315	1428557	22.1
	"Hawaii"	"15"	"2016"	"2016"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1710	1428557	119.7
	"Hawaii"	"15"	"2016"	"2016"	"Mental and behavioural disorders"	"F01-F99"	2567	1428557	179.7
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the nervous system"	"G00-G98"	1140	1428557	79.8
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	1428557	Suppressed
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	1428557	Suppressed
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	5986	1428557	419.0
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the respiratory system"	"J00-J98"	2715	1428557	190.1
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the digestive system"	"K00-K92"	856	1428557	59.9
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	158	1428557	11.1
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	230	1428557	16.1
	"Hawaii"	"15"	"2016"	"2016"	"Diseases of the genitourinary system"	"N00-N99"	981	1428557	68.7
	"Hawaii"	"15"	"2016"	"2016"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	1428557	Suppressed
	"Hawaii"	"15"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	68	1428557	4.8
	"Hawaii"	"15"	"2016"	"2016"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	44	1428557	3.1
	"Hawaii"	"15"	"2016"	"2016"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1775	1428557	124.3
	"Hawaii"	"15"	"2016"	"2016"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1011	1428557	70.8
	"Hawaii"	"15"	"2016"	"2016"	"Codes for special purposes"	"U00-U99"	0	1428557	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	1078	1428557	75.5
	"Hawaii"	"15"	"2017"	"2017"	"Certain infectious and parasitic diseases"	"A00-B99"	807	1427538	56.5
	"Hawaii"	"15"	"2017"	"2017"	"Neoplasms"	"C00-D48"	2840	1427538	198.9
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	355	1427538	24.9
	"Hawaii"	"15"	"2017"	"2017"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1757	1427538	123.1
	"Hawaii"	"15"	"2017"	"2017"	"Mental and behavioural disorders"	"F01-F99"	2613	1427538	183.0
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the nervous system"	"G00-G98"	1223	1427538	85.7
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the eye and adnexa"	"H00-H59"	12	1427538	Unreliable
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	1427538	Suppressed
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	6164	1427538	431.8
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the respiratory system"	"J00-J98"	2901	1427538	203.2
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the digestive system"	"K00-K92"	894	1427538	62.6
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	155	1427538	10.9
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	247	1427538	17.3
	"Hawaii"	"15"	"2017"	"2017"	"Diseases of the genitourinary system"	"N00-N99"	1064	1427538	74.5
	"Hawaii"	"15"	"2017"	"2017"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	1427538	Suppressed
	"Hawaii"	"15"	"2017"	"2017"	"Certain conditions originating in the perinatal period"	"P00-P96"	76	1427538	5.3
	"Hawaii"	"15"	"2017"	"2017"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	52	1427538	3.6
	"Hawaii"	"15"	"2017"	"2017"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1800	1427538	126.1
	"Hawaii"	"15"	"2017"	"2017"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1044	1427538	73.1
	"Hawaii"	"15"	"2017"	"2017"	"Codes for special purposes"	"U00-U99"	0	1427538	Unreliable
	"Hawaii"	"15"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	1128	1427538	79.0
	"Hawaii"	"15"	"2018"	"2018"	"Certain infectious and parasitic diseases"	"A00-B99"	774	1420491	54.5
	"Hawaii"	"15"	"2018"	"2018"	"Neoplasms"	"C00-D48"	2733	1420491	192.4
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	350	1420491	24.6
	"Hawaii"	"15"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1970	1420491	138.7
	"Hawaii"	"15"	"2018"	"2018"	"Mental and behavioural disorders"	"F01-F99"	2758	1420491	194.2
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	1289	1420491	90.7
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the eye and adnexa"	"H00-H59"	13	1420491	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the ear and mastoid process"	"H60-H95"	11	1420491	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	6135	1420491	431.9
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	2826	1420491	198.9
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	885	1420491	62.3
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	137	1420491	9.6
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	263	1420491	18.5
	"Hawaii"	"15"	"2018"	"2018"	"Diseases of the genitourinary system"	"N00-N99"	1041	1420491	73.3
	"Hawaii"	"15"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	1420491	Suppressed
	"Hawaii"	"15"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	78	1420491	5.5
	"Hawaii"	"15"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	62	1420491	4.4
	"Hawaii"	"15"	"2018"	"2018"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1859	1420491	130.9
	"Hawaii"	"15"	"2018"	"2018"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1034	1420491	72.8
	"Hawaii"	"15"	"2018"	"2018"	"Codes for special purposes"	"U00-U99"	0	1420491	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	1143	1420491	80.5
	"Hawaii"	"15"	"2019"	"2019"	"Certain infectious and parasitic diseases"	"A00-B99"	755	1415872	53.3
	"Hawaii"	"15"	"2019"	"2019"	"Neoplasms"	"C00-D48"	2867	1415872	202.5
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	399	1415872	28.2
	"Hawaii"	"15"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1812	1415872	128.0
	"Hawaii"	"15"	"2019"	"2019"	"Mental and behavioural disorders"	"F01-F99"	2896	1415872	204.5
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	1281	1415872	90.5
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the eye and adnexa"	"H00-H59"	20	1415872	1.4
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the ear and mastoid process"	"H60-H95"	10	1415872	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	6047	1415872	427.1
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	2574	1415872	181.8
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the digestive system"	"K00-K92"	924	1415872	65.3
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	139	1415872	9.8
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	290	1415872	20.5
	"Hawaii"	"15"	"2019"	"2019"	"Diseases of the genitourinary system"	"N00-N99"	1097	1415872	77.5
	"Hawaii"	"15"	"2019"	"2019"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	1415872	Suppressed
	"Hawaii"	"15"	"2019"	"2019"	"Certain conditions originating in the perinatal period"	"P00-P96"	62	1415872	4.4
	"Hawaii"	"15"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	64	1415872	4.5
	"Hawaii"	"15"	"2019"	"2019"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1849	1415872	130.6
	"Hawaii"	"15"	"2019"	"2019"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1078	1415872	76.1
	"Hawaii"	"15"	"2019"	"2019"	"Codes for special purposes"	"U00-U99"	0	1415872	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	1233	1415872	87.1
	"Idaho"	"16"	"2015"	"2015"	"Certain infectious and parasitic diseases"	"A00-B99"	895	1654930	54.1
	"Idaho"	"16"	"2015"	"2015"	"Neoplasms"	"C00-D48"	3228	1654930	195.1
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	306	1654930	18.5
	"Idaho"	"16"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	2063	1654930	124.7
	"Idaho"	"16"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	3867	1654930	233.7
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	1563	1654930	94.4
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	13	1654930	Unreliable
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	1654930	Suppressed
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	6451	1654930	389.8
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	3283	1654930	198.4
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	1095	1654930	66.2
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	116	1654930	7.0
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	326	1654930	19.7
	"Idaho"	"16"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	1175	1654930	71.0
	"Idaho"	"16"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	10	1654930	Unreliable
	"Idaho"	"16"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	64	1654930	3.9
	"Idaho"	"16"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	90	1654930	5.4
	"Idaho"	"16"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	2742	1654930	165.7
	"Idaho"	"16"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1484	1654930	89.7
	"Idaho"	"16"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	0	1654930	Unreliable
	"Idaho"	"16"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	1587	1654930	95.9
	"Idaho"	"16"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	912	1683140	54.2
	"Idaho"	"16"	"2016"	"2016"	"Neoplasms"	"C00-D48"	3266	1683140	194.0
