"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Projected Populations
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	299229
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	307263
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	301029
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	310243
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	301708
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	311914
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	301047
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	311465
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	298778
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	309209
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	295228
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2020"	"2020"	"Male"	"M"	305508
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2021"	"2021"	"Female"	"F"	292133
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2021"	"2021"	"Male"	"M"	301795
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2022"	"2022"	"Female"	"F"	288909
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2022"	"2022"	"Male"	"M"	298159
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2023"	"2023"	"Female"	"F"	285728
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2023"	"2023"	"Male"	"M"	294368
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2024"	"2024"	"Female"	"F"	283152
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2024"	"2024"	"Male"	"M"	291348
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2013"	"2013"	"Female"	"F"	66784
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2013"	"2013"	"Male"	"M"	64702
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2014"	"2014"	"Female"	"F"	66088
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2014"	"2014"	"Male"	"M"	63922
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2015"	"2015"	"Female"	"F"	65403
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2015"	"2015"	"Male"	"M"	63390
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2016"	"2016"	"Female"	"F"	64658
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2016"	"2016"	"Male"	"M"	62653
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2017"	"2017"	"Female"	"F"	63625
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2017"	"2017"	"Male"	"M"	61619
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2018"	"2018"	"Female"	"F"	62425
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2018"	"2018"	"Male"	"M"	60595
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2019"	"2019"	"Female"	"F"	60830
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2019"	"2019"	"Male"	"M"	59188
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2020"	"2020"	"Female"	"F"	58813
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2020"	"2020"	"Male"	"M"	57331
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2021"	"2021"	"Female"	"F"	56807
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2021"	"2021"	"Male"	"M"	55420
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2022"	"2022"	"Female"	"F"	54959
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2022"	"2022"	"Male"	"M"	53481
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2023"	"2023"	"Female"	"F"	53335
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2023"	"2023"	"Male"	"M"	51745
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2024"	"2024"	"Female"	"F"	52256
	"25-29 years"	"25-29"	"New Mexico"	"35"	"2024"	"2024"	"Male"	"M"	50613
	"25-29 years"	"25-29"	"New York"	"36"	"2013"	"2013"	"Female"	"F"	692860
	"25-29 years"	"25-29"	"New York"	"36"	"2013"	"2013"	"Male"	"M"	687246
	"25-29 years"	"25-29"	"New York"	"36"	"2014"	"2014"	"Female"	"F"	702399
	"25-29 years"	"25-29"	"New York"	"36"	"2014"	"2014"	"Male"	"M"	695214
	"25-29 years"	"25-29"	"New York"	"36"	"2015"	"2015"	"Female"	"F"	713581
	"25-29 years"	"25-29"	"New York"	"36"	"2015"	"2015"	"Male"	"M"	706125
	"25-29 years"	"25-29"	"New York"	"36"	"2016"	"2016"	"Female"	"F"	721369
	"25-29 years"	"25-29"	"New York"	"36"	"2016"	"2016"	"Male"	"M"	713557
	"25-29 years"	"25-29"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	724901
	"25-29 years"	"25-29"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	716774
	"25-29 years"	"25-29"	"New York"	"36"	"2018"	"2018"	"Female"	"F"	722716
	"25-29 years"	"25-29"	"New York"	"36"	"2018"	"2018"	"Male"	"M"	714101
	"25-29 years"	"25-29"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	714496
	"25-29 years"	"25-29"	"New York"	"36"	"2019"	"2019"	"Male"	"M"	704188
	"25-29 years"	"25-29"	"New York"	"36"	"2020"	"2020"	"Female"	"F"	700185
	"25-29 years"	"25-29"	"New York"	"36"	"2020"	"2020"	"Male"	"M"	687691
	"25-29 years"	"25-29"	"New York"	"36"	"2021"	"2021"	"Female"	"F"	683739
	"25-29 years"	"25-29"	"New York"	"36"	"2021"	"2021"	"Male"	"M"	670452
	"25-29 years"	"25-29"	"New York"	"36"	"2022"	"2022"	"Female"	"F"	665638
	"25-29 years"	"25-29"	"New York"	"36"	"2022"	"2022"	"Male"	"M"	651637
	"25-29 years"	"25-29"	"New York"	"36"	"2023"	"2023"	"Female"	"F"	648008
	"25-29 years"	"25-29"	"New York"	"36"	"2023"	"2023"	"Male"	"M"	632689
	"25-29 years"	"25-29"	"New York"	"36"	"2024"	"2024"	"Female"	"F"	632571
	"25-29 years"	"25-29"	"New York"	"36"	"2024"	"2024"	"Male"	"M"	616940
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2013"	"2013"	"Female"	"F"	305636
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2013"	"2013"	"Male"	"M"	314480
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2014"	"2014"	"Female"	"F"	317046
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2014"	"2014"	"Male"	"M"	326301
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2015"	"2015"	"Female"	"F"	328573
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2015"	"2015"	"Male"	"M"	338203
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2016"	"2016"	"Female"	"F"	338113
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2016"	"2016"	"Male"	"M"	349351
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2017"	"2017"	"Female"	"F"	345611
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2017"	"2017"	"Male"	"M"	358425
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2018"	"2018"	"Female"	"F"	350521
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2018"	"2018"	"Male"	"M"	364711
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2019"	"2019"	"Female"	"F"	352451
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2019"	"2019"	"Male"	"M"	368172
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2020"	"2020"	"Female"	"F"	351275
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2020"	"2020"	"Male"	"M"	368530
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2021"	"2021"	"Female"	"F"	350019
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2021"	"2021"	"Male"	"M"	367716
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2022"	"2022"	"Female"	"F"	349498
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2022"	"2022"	"Male"	"M"	367440
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2023"	"2023"	"Female"	"F"	350072
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2023"	"2023"	"Male"	"M"	369009
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2024"	"2024"	"Female"	"F"	353410
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2024"	"2024"	"Male"	"M"	372613
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2013"	"2013"	"Female"	"F"	19213
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2013"	"2013"	"Male"	"M"	21891
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2014"	"2014"	"Female"	"F"	19155
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2014"	"2014"	"Male"	"M"	21985
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2015"	"2015"	"Female"	"F"	18969
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2015"	"2015"	"Male"	"M"	21943
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2016"	"2016"	"Female"	"F"	18800
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2016"	"2016"	"Male"	"M"	21661
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2017"	"2017"	"Female"	"F"	18598
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2017"	"2017"	"Male"	"M"	21517
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2018"	"2018"	"Female"	"F"	18349
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2018"	"2018"	"Male"	"M"	21118
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2019"	"2019"	"Female"	"F"	17900
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2019"	"2019"	"Male"	"M"	20722
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2020"	"2020"	"Female"	"F"	17405
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2020"	"2020"	"Male"	"M"	20122
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2021"	"2021"	"Female"	"F"	16892
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2021"	"2021"	"Male"	"M"	19585
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2022"	"2022"	"Female"	"F"	16455
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2022"	"2022"	"Male"	"M"	18969
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2023"	"2023"	"Female"	"F"	16044
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2023"	"2023"	"Male"	"M"	18489
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2024"	"2024"	"Female"	"F"	15602
	"25-29 years"	"25-29"	"North Dakota"	"38"	"2024"	"2024"	"Male"	"M"	17997
	"25-29 years"	"25-29"	"Ohio"	"39"	"2013"	"2013"	"Female"	"F"	373102
	"25-29 years"	"25-29"	"Ohio"	"39"	"2013"	"2013"	"Male"	"M"	387938
	"25-29 years"	"25-29"	"Ohio"	"39"	"2014"	"2014"	"Female"	"F"	373660
	"25-29 years"	"25-29"	"Ohio"	"39"	"2014"	"2014"	"Male"	"M"	388289
	"25-29 years"	"25-29"	"Ohio"	"39"	"2015"	"2015"	"Female"	"F"	374959
	"25-29 years"	"25-29"	"Ohio"	"39"	"2015"	"2015"	"Male"	"M"	389570
	"25-29 years"	"25-29"	"Ohio"	"39"	"2016"	"2016"	"Female"	"F"	376847
	"25-29 years"	"25-29"	"Ohio"	"39"	"2016"	"2016"	"Male"	"M"	390817
	"25-29 years"	"25-29"	"Ohio"	"39"	"2017"	"2017"	"Female"	"F"	377729
	"25-29 years"	"25-29"	"Ohio"	"39"	"2017"	"2017"	"Male"	"M"	391634
	"25-29 years"	"25-29"	"Ohio"	"39"	"2018"	"2018"	"Female"	"F"	376677
	"25-29 years"	"25-29"	"Ohio"	"39"	"2018"	"2018"	"Male"	"M"	389594
	"25-29 years"	"25-29"	"Ohio"	"39"	"2019"	"2019"	"Female"	"F"	372652
	"25-29 years"	"25-29"	"Ohio"	"39"	"2019"	"2019"	"Male"	"M"	384900
	"25-29 years"	"25-29"	"Ohio"	"39"	"2020"	"2020"	"Female"	"F"	365971
	"25-29 years"	"25-29"	"Ohio"	"39"	"2020"	"2020"	"Male"	"M"	377571
	"25-29 years"	"25-29"	"Ohio"	"39"	"2021"	"2021"	"Female"	"F"	358546
	"25-29 years"	"25-29"	"Ohio"	"39"	"2021"	"2021"	"Male"	"M"	370302
	"25-29 years"	"25-29"	"Ohio"	"39"	"2022"	"2022"	"Female"	"F"	351299
	"25-29 years"	"25-29"	"Ohio"	"39"	"2022"	"2022"	"Male"	"M"	362688
	"25-29 years"	"25-29"	"Ohio"	"39"	"2023"	"2023"	"Female"	"F"	345758
	"25-29 years"	"25-29"	"Ohio"	"39"	"2023"	"2023"	"Male"	"M"	356804
	"25-29 years"	"25-29"	"Ohio"	"39"	"2024"	"2024"	"Female"	"F"	342176
	"25-29 years"	"25-29"	"Ohio"	"39"	"2024"	"2024"	"Male"	"M"	353016
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2013"	"2013"	"Female"	"F"	111910
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2013"	"2013"	"Male"	"M"	119146
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2014"	"2014"	"Female"	"F"	111393
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2014"	"2014"	"Male"	"M"	118586
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2015"	"2015"	"Female"	"F"	111679
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2015"	"2015"	"Male"	"M"	119003
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2016"	"2016"	"Female"	"F"	112019
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2016"	"2016"	"Male"	"M"	119459
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2017"	"2017"	"Female"	"F"	112608
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2017"	"2017"	"Male"	"M"	120394
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2018"	"2018"	"Female"	"F"	112487
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2018"	"2018"	"Male"	"M"	120719
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2019"	"2019"	"Female"	"F"	111686
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2019"	"2019"	"Male"	"M"	120296
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2020"	"2020"	"Female"	"F"	109948
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2020"	"2020"	"Male"	"M"	119013
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2021"	"2021"	"Female"	"F"	108209
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2021"	"2021"	"Male"	"M"	117835
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2022"	"2022"	"Female"	"F"	107032
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2022"	"2022"	"Male"	"M"	116889
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2023"	"2023"	"Female"	"F"	106905
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2023"	"2023"	"Male"	"M"	117016
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2024"	"2024"	"Female"	"F"	107601
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2024"	"2024"	"Male"	"M"	117582
	"25-29 years"	"25-29"	"Oregon"	"41"	"2013"	"2013"	"Female"	"F"	136198
	"25-29 years"	"25-29"	"Oregon"	"41"	"2013"	"2013"	"Male"	"M"	139181
	"25-29 years"	"25-29"	"Oregon"	"41"	"2014"	"2014"	"Female"	"F"	136359
	"25-29 years"	"25-29"	"Oregon"	"41"	"2014"	"2014"	"Male"	"M"	139254
	"25-29 years"	"25-29"	"Oregon"	"41"	"2015"	"2015"	"Female"	"F"	137221
	"25-29 years"	"25-29"	"Oregon"	"41"	"2015"	"2015"	"Male"	"M"	140367
	"25-29 years"	"25-29"	"Oregon"	"41"	"2016"	"2016"	"Female"	"F"	138246
	"25-29 years"	"25-29"	"Oregon"	"41"	"2016"	"2016"	"Male"	"M"	141433
	"25-29 years"	"25-29"	"Oregon"	"41"	"2017"	"2017"	"Female"	"F"	139170
	"25-29 years"	"25-29"	"Oregon"	"41"	"2017"	"2017"	"Male"	"M"	142264
	"25-29 years"	"25-29"	"Oregon"	"41"	"2018"	"2018"	"Female"	"F"	139368
	"25-29 years"	"25-29"	"Oregon"	"41"	"2018"	"2018"	"Male"	"M"	142788
	"25-29 years"	"25-29"	"Oregon"	"41"	"2019"	"2019"	"Female"	"F"	138940
	"25-29 years"	"25-29"	"Oregon"	"41"	"2019"	"2019"	"Male"	"M"	142175
	"25-29 years"	"25-29"	"Oregon"	"41"	"2020"	"2020"	"Female"	"F"	138157
	"25-29 years"	"25-29"	"Oregon"	"41"	"2020"	"2020"	"Male"	"M"	141170
	"25-29 years"	"25-29"	"Oregon"	"41"	"2021"	"2021"	"Female"	"F"	137853
	"25-29 years"	"25-29"	"Oregon"	"41"	"2021"	"2021"	"Male"	"M"	140745
	"25-29 years"	"25-29"	"Oregon"	"41"	"2022"	"2022"	"Female"	"F"	138122
	"25-29 years"	"25-29"	"Oregon"	"41"	"2022"	"2022"	"Male"	"M"	140767
	"25-29 years"	"25-29"	"Oregon"	"41"	"2023"	"2023"	"Female"	"F"	138952
	"25-29 years"	"25-29"	"Oregon"	"41"	"2023"	"2023"	"Male"	"M"	141433
	"25-29 years"	"25-29"	"Oregon"	"41"	"2024"	"2024"	"Female"	"F"	140462
	"25-29 years"	"25-29"	"Oregon"	"41"	"2024"	"2024"	"Male"	"M"	142825
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2013"	"2013"	"Female"	"F"	405184
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2013"	"2013"	"Male"	"M"	407030
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2014"	"2014"	"Female"	"F"	410590
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2014"	"2014"	"Male"	"M"	410278
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2015"	"2015"	"Female"	"F"	416767
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2015"	"2015"	"Male"	"M"	414985
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2016"	"2016"	"Female"	"F"	420244
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2016"	"2016"	"Male"	"M"	417292
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2017"	"2017"	"Female"	"F"	421440
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2017"	"2017"	"Male"	"M"	417091
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2018"	"2018"	"Female"	"F"	419506
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2018"	"2018"	"Male"	"M"	414211
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2019"	"2019"	"Female"	"F"	414062
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2019"	"2019"	"Male"	"M"	407400
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2020"	"2020"	"Female"	"F"	404753
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2020"	"2020"	"Male"	"M"	396835
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2021"	"2021"	"Female"	"F"	395068
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2021"	"2021"	"Male"	"M"	385735
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2022"	"2022"	"Female"	"F"	384873
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2022"	"2022"	"Male"	"M"	374570
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2023"	"2023"	"Female"	"F"	375273
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2023"	"2023"	"Male"	"M"	364524
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2024"	"2024"	"Female"	"F"	367947
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2024"	"2024"	"Male"	"M"	356671
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2013"	"2013"	"Female"	"F"	36733
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2013"	"2013"	"Male"	"M"	36665
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2014"	"2014"	"Female"	"F"	38068
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2014"	"2014"	"Male"	"M"	37998
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2015"	"2015"	"Female"	"F"	39656
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2015"	"2015"	"Male"	"M"	39335
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2016"	"2016"	"Female"	"F"	41037
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2016"	"2016"	"Male"	"M"	40426
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2017"	"2017"	"Female"	"F"	41818
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2017"	"2017"	"Male"	"M"	41071
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2018"	"2018"	"Female"	"F"	42111
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2018"	"2018"	"Male"	"M"	41260
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2019"	"2019"	"Female"	"F"	41905
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2019"	"2019"	"Male"	"M"	40811
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2020"	"2020"	"Female"	"F"	40940
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2020"	"2020"	"Male"	"M"	39808
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2021"	"2021"	"Female"	"F"	39709
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2021"	"2021"	"Male"	"M"	38522
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2022"	"2022"	"Female"	"F"	38433
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2022"	"2022"	"Male"	"M"	37270
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2023"	"2023"	"Female"	"F"	37173
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2023"	"2023"	"Male"	"M"	36116
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2024"	"2024"	"Female"	"F"	36086
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"2024"	"2024"	"Male"	"M"	35026
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2013"	"2013"	"Female"	"F"	139358
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2013"	"2013"	"Male"	"M"	141424
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2014"	"2014"	"Female"	"F"	142631
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2014"	"2014"	"Male"	"M"	144471
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2015"	"2015"	"Female"	"F"	146392
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2015"	"2015"	"Male"	"M"	148269
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2016"	"2016"	"Female"	"F"	149440
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2016"	"2016"	"Male"	"M"	151594
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2017"	"2017"	"Female"	"F"	151907
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2017"	"2017"	"Male"	"M"	153660
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2018"	"2018"	"Female"	"F"	152523
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2018"	"2018"	"Male"	"M"	154594
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2019"	"2019"	"Female"	"F"	151137
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2019"	"2019"	"Male"	"M"	153225
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2020"	"2020"	"Female"	"F"	148362
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2020"	"2020"	"Male"	"M"	150395
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2021"	"2021"	"Female"	"F"	145742
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2021"	"2021"	"Male"	"M"	147492
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2022"	"2022"	"Female"	"F"	143042
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2022"	"2022"	"Male"	"M"	145612
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2023"	"2023"	"Female"	"F"	141393
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2023"	"2023"	"Male"	"M"	144498
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2024"	"2024"	"Female"	"F"	141381
	"25-29 years"	"25-29"	"South Carolina"	"45"	"2024"	"2024"	"Male"	"M"	144327
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2013"	"2013"	"Female"	"F"	23816
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2013"	"2013"	"Male"	"M"	25885
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2014"	"2014"	"Female"	"F"	23206
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2014"	"2014"	"Male"	"M"	25440
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2015"	"2015"	"Female"	"F"	22803
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2015"	"2015"	"Male"	"M"	24951
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2016"	"2016"	"Female"	"F"	22355
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2016"	"2016"	"Male"	"M"	24508
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2017"	"2017"	"Female"	"F"	21994
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2017"	"2017"	"Male"	"M"	24263
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2018"	"2018"	"Female"	"F"	21594
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2018"	"2018"	"Male"	"M"	23977
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2019"	"2019"	"Female"	"F"	21154
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2019"	"2019"	"Male"	"M"	23568
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2020"	"2020"	"Female"	"F"	20679
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2020"	"2020"	"Male"	"M"	23034
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2021"	"2021"	"Female"	"F"	20415
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2021"	"2021"	"Male"	"M"	22531
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2022"	"2022"	"Female"	"F"	20039
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2022"	"2022"	"Male"	"M"	22095
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2023"	"2023"	"Female"	"F"	19742
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2023"	"2023"	"Male"	"M"	21745
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2024"	"2024"	"Female"	"F"	19663
	"25-29 years"	"25-29"	"South Dakota"	"46"	"2024"	"2024"	"Male"	"M"	21647
